email,politeness_formality,emotional_tone,clarity_constructiveness
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.46,0.22,0.26
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.65,0.91,1.0
Thanks again for your quick response. Your help is much appreciated!,1.0,0.81,0.72
Thanks again for your quick response. Your help is much appreciated!,0.93,1.0,0.83
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.39,0.17,0.26
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.2,0.02,0.29
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.83,0.45,0.81
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.6,0.24,0.5
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.85,1.0,0.92
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.78,0.59,0.81
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.97,0.45,0.58
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.99,1.0,0.79
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.46,0.54,0.32
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.94,0.47,0.78
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.28,0.19,0.37
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.93,1.0,0.93
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.7,0.67,0.93
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.82,1.0,0.65
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,1.0,0.69,1.0
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.8,0.59,0.41
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.62,0.54,0.81
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.26,0.13,0.51
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.84,0.82,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.44,0.25,0.32
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.46,0.04,0.19
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.77,0.47,0.82
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.65,0.51,0.87
Thanks again for your quick response. Your help is much appreciated!,1.0,0.92,0.85
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.7,0.34,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.82,0.52,0.39
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.51,1.0,0.94
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.7,0.49,0.89
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.72,0.45,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.05,0.0,0.6
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,0.9,0.92
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.97,0.68,1.0
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.9,0.98,1.0
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.76,0.4,0.84
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,1.0,0.49,0.81
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,0.58,0.99
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.39,0.3,0.24
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,1.0,0.88
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.47,0.84
Thanks again for your quick response. Your help is much appreciated!,0.95,1.0,1.0
Thanks again for your quick response. Your help is much appreciated!,0.92,1.0,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.1,0.12,0.12
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.4,0.09,0.18
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.87,0.51,0.81
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.39,0.0,0.75
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.46,0.47,0.56
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.59,0.55,0.3
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.69,0.64,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.75,0.24,0.86
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.49,0.36,0.21
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.89,1.0,0.84
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.9,0.63,1.0
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.89,0.6,0.83
Thanks again for your quick response. Your help is much appreciated!,0.77,0.68,0.8
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.77,0.7,0.3
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.96,1.0,0.63
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.57,0.29,0.45
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.58,0.22,0.61
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.87,0.41,0.86
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.72,0.72,0.48
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.89,0.72,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.7,0.4,0.32
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.45,0.47,0.55
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.15,0.0,0.13
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.47,0.0,0.42
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.63,0.32,1.0
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.91,0.59,0.6
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.7,0.46,0.8
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.8,1.0,0.89
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.98,0.48,0.57
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.87,0.59,0.34
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.2,0.21,0.59
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.34,0.05,0.16
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.98,0.68,0.61
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",1.0,0.41,0.97
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.95,0.72,0.87
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.82,0.93,0.79
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.65,0.95,1.0
Thanks again for your quick response. Your help is much appreciated!,1.0,0.56,0.93
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.84,0.25,0.64
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.99,0.72,1.0
Thanks again for your quick response. Your help is much appreciated!,1.0,0.85,0.8
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.37,0.07,0.3
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,1.0,0.94
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.86,0.52,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.35,0.09,0.17
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.6,0.34,0.85
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.93,0.59,0.52
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.83,0.73
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.58,0.07,0.53
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.98,0.9,0.84
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.9,0.38,0.78
Great job on the presentation today! Your insights were clear and valuable to the whole team.,1.0,0.81,1.0
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.48,0.18,0.57
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.31,0.17,0.19
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.87,0.73,0.92
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.97,0.83,0.81
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.82,0.45,0.6
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.47,0.33,0.66
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.95,0.65,0.82
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.57,0.56,0.4
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.4,0.39,0.34
Thanks again for your quick response. Your help is much appreciated!,0.76,0.6,0.66
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.36,0.17,0.31
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.74,0.29,0.71
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.8,1.0,0.96
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.16,0.24,0.48
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.41,0.15,0.68
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.61,0.66,0.73
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.73,0.78,1.0
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.91,0.97,0.75
Thanks again for your quick response. Your help is much appreciated!,1.0,0.89,1.0
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.61,0.22,0.45
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.84,0.44,0.95
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.97,0.5,0.78
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.0,0.34,0.4
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.26,0.18,0.11
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.73,0.41,0.67
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.81,0.58,0.8
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.22,0.31,0.39
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.92,0.87,1.0
Great job on the presentation today! Your insights were clear and valuable to the whole team.,0.79,0.88,1.0
Thanks again for your quick response. Your help is much appreciated!,0.84,0.99,0.81
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.22,0.04,0.6
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.78,0.65,0.84
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.29,0.39,0.55
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.75,0.58,0.86
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.34,0.2,0.69
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.52,0.16,0.63
Thanks again for your quick response. Your help is much appreciated!,1.0,0.86,0.62
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.14,0.2,0.31
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.98,0.71,0.79
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.48,0.23,0.57
Thanks again for your quick response. Your help is much appreciated!,0.83,1.0,1.0
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",1.0,0.64,0.93
Thanks again for your quick response. Your help is much appreciated!,0.89,1.0,0.85
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.18,0.0,0.17
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.58,0.51,0.68
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.55,0.2,0.45
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.42,0.46,0.5
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.48,0.23,0.52
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.9,0.22,0.92
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.89,0.62,1.0
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.94,0.65,0.74
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.52,0.0,0.47
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.82,0.54,0.51
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.9,0.55,0.44
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.34,0.0,0.45
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.87,0.5,1.0
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.0,0.18,0.21
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.87,0.44,0.9
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.44,0.03,0.45
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.88,0.65,0.97
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.42,0.0,0.49
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.88,1.0
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.94,0.53,0.76
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.65,0.33,0.93
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",1.0,0.66,0.92
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.95,0.83,0.84
Thanks again for your quick response. Your help is much appreciated!,1.0,1.0,0.7
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.64,0.73,0.6
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.78,0.35,0.97
"Unfortunately, we will need to postpone the meeting. Let me know your availability for next week.",0.91,0.63,0.83
Thanks again for your quick response. Your help is much appreciated!,0.8,0.95,1.0
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.74,0.85,1.0
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.74,0.55,1.0
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.8,0.5,0.88
This is getting frustrating. I've asked multiple times and still haven't received the documents. Please send them ASAP.,0.69,0.38,0.48
Can you clarify what you meant in your last message? I'm not sure I understand the proposed changes.,0.71,0.62,0.47
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.99,0.71,0.86
Thanks again for your quick response. Your help is much appreciated!,1.0,0.82,0.86
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,0.89,0.45,0.88
What you did in the last deployment was completely unacceptable. We’ve discussed this before.,0.16,0.06,0.18
Please find attached the latest budget spreadsheet. Let me know if any line items need revision.,1.0,0.73,0.92
"Hi team, just a quick reminder to submit your weekly reports by EOD Friday. Let me know if you have any issues.",0.72,0.7,0.96
I don’t agree with this decision. It seems rushed and lacks proper input from the team.,0.5,0.3,0.52
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.9,0.54,1.0
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.83,0.44,0.81
We’ll need a more detailed plan before proceeding. Can you send a revised version by tomorrow?,0.71,0.61,0.9
